Timestamp, TransactionCount
1230940800000,1
1231718400000,170
1232064000000,658
1232409600000,1102
1232755200000,1498
1233100800000,2087
1233446400000,2577
1233792000000,3094
1234137600000,3608
1234483200000,4117
1234828800000,4631
1235174400000,5113
1235520000000,5566
1235865600000,5994
1236211200000,6420
1236556800000,6877
1236902400000,7325
1237248000000,7794
1237593600000,8265
1237939200000,8671
1238284800000,9134
1238630400000,9595
1238976000000,10071
1239321600000,10484
1239667200000,10949
1240012800000,11421
1240358400000,11916
1240704000000,12345
1241049600000,12809
1241395200000,13298
1241740800000,13820
1242086400000,14211
1242432000000,14736
1242777600000,15186
1243123200000,15481
1243468800000,15934
1243814400000,16342
1244160000000,16661
1244505600000,16817
1244851200000,17165
1245196800000,17470
1245542400000,17794
1245888000000,18125
1246233600000,18415
1246579200000,18744
1246924800000,19078
1247270400000,19388
1247616000000,19695
1247961600000,19863
1248307200000,20146
1248652800000,20347
1248998400000,20498
1249344000000,20578
1249689600000,20917
1250035200000,21243
1250380800000,21480
1250726400000,21544
1251072000000,21602
1251417600000,21747
1251763200000,22085
1252108800000,22355
1252454400000,22647
1252800000000,22904
1253145600000,23170
1253491200000,23485
1253836800000,23714
1254182400000,24080
1254528000000,24410
1254873600000,24622
1255219200000,24907
1255564800000,25166
1255910400000,25430
1256256000000,25810
1256601600000,26109
1256947200000,26348
1257292800000,26514
1257638400000,26766
1257984000000,27054
1258329600000,27378
1258675200000,27718
1259020800000,28079
1259366400000,28420
1259712000000,28700
1260057600000,28983
1260403200000,29416
1260748800000,29858
1261094400000,30386
1261440000000,31161
1261785600000,31781
1262131200000,32431
1262476800000,32970
1262822400000,33700
1263168000000,34348
1263513600000,34979
1263859200000,35504
1264204800000,36106
1264550400000,36839
1264896000000,37599
1265241600000,38377
1265587200000,39266
1265932800000,40031
1266278400000,40858
1266624000000,41719
1266969600000,42672
1267315200000,43358
1267660800000,44067
1268006400000,44794
1268352000000,45377
1268697600000,45921
1269043200000,46500
1269388800000,47300
1269734400000,48081
1270080000000,48917
1270425600000,49604
1270771200000,50361
1271116800000,51392
1271462400000,52348
1271808000000,56469
1272153600000,57321
1272499200000,58196
1272844800000,58937
1273190400000,59641
1273536000000,60320
1273881600000,60929
1274227200000,61576
1274572800000,62481
1274918400000,63581
1275264000000,64565
1275609600000,65370
1275955200000,66142
1276300800000,67050
1276646400000,68029
1276992000000,68831
1277337600000,69785
1277683200000,70670
1278028800000,71722
1278374400000,72722
1278720000000,73640
1279065600000,78013
1279411200000,87077
1279756800000,89069
1280102400000,92593
1280448000000,97304
1280793600000,98688
1281139200000,100653
1281484800000,102078
1281830400000,103830
1282176000000,105292
1282521600000,106748
1282867200000,108229
1283212800000,109452
1283558400000,110912
1283904000000,112057
1284249600000,113387
1284595200000,115054
1284940800000,116607
1285286400000,119213
1285632000000,121246
1285977600000,123661
1286323200000,125319
1286668800000,126831
1287014400000,128249
1287360000000,129843
1287705600000,132614
1288051200000,134691
1288396800000,136731
1288742400000,138100
1289088000000,139625
1289433600000,141400
1289779200000,142837
1290124800000,158960
1290470400000,188510
1290816000000,199066
1291161600000,200881
1291507200000,202649
1291852800000,204643
1292198400000,206698
1292544000000,209166
1292889600000,211611
1293235200000,213954
1293580800000,216356
1293926400000,218674
1294272000000,222672
1294617600000,227034
1294963200000,232147
1295308800000,236125
1295654400000,239950
1296000000000,244687
1296345600000,248951
1296691200000,254850
1297036800000,258311
1297382400000,263330
1297728000000,271433
1298073600000,280031
1298419200000,287722
1298764800000,296097
1299110400000,304836
1299456000000,314109
1299801600000,321981
1300147200000,332159
1300492800000,343950
1300838400000,359373
1301184000000,371351
1301529600000,381218
1301875200000,388481
1302220800000,396445
1302566400000,403648
1302912000000,412973
1303257600000,424016
1303603200000,433319
1303948800000,446280
1304294400000,461200
1304640000000,473516
1304985600000,487088
1305331200000,500768
1305676800000,517756
1306022400000,537766
1306368000000,561028
1306713600000,582544
1307059200000,607637
1307404800000,643119
1307750400000,687407
1308096000000,736136
1308441600000,784401
1308787200000,828253
1309132800000,869460
1309478400000,911420
1309824000000,948045
1310169600000,985227
1310515200000,1020117
1310860800000,1054846
1311206400000,1090253
1311552000000,1123196
1311897600000,1157013
1312243200000,1186975
1312588800000,1219102
1312934400000,1249139
1313280000000,1279613
1313625600000,1312794
1313971200000,1342755
1314316800000,1372434
1314662400000,1399898
1315008000000,1429269
1315353600000,1457332
1315699200000,1484207
1316044800000,1509972
1316390400000,1534053
1316736000000,1562716
1317081600000,1586106
1317427200000,1609722
1317772800000,1632389
1318118400000,1655193
1318464000000,1678394
1318809600000,1700021
1319155200000,1720480
1319500800000,1742318
1319846400000,1762640
1320192000000,1784170
1320537600000,1808836
1320883200000,1831920
1321228800000,1853942
1321574400000,1877026
1321920000000,1896772
1322265600000,1918362
1322611200000,1940579
1322956800000,1965689
1323302400000,1991540
1323648000000,2013872
1323993600000,2034597
1324339200000,2055204
1324684800000,2078604
1325030400000,2099428
1325376000000,2119853
1325721600000,2141802
1326067200000,2167762
1326412800000,2194335
1326758400000,2221206
1327104000000,2248347
1327449600000,2273434
1327795200000,2300283
1328140800000,2326193
1328486400000,2354516
1328832000000,2382119
1329177600000,2413283
1329523200000,2448347
1329868800000,2473595
1330214400000,2502113
1330560000000,2528080
1330905600000,2554315
1331251200000,2580934
1331596800000,2604183
1331942400000,2631707
1332288000000,2658017
1332633600000,2684183
1332979200000,2710879
1333324800000,2736972
1333670400000,2765433
1334016000000,2790733
1334361600000,2822550
1334707200000,2854228
1335052800000,2886185
1335398400000,2914845
1335744000000,2947200
1336089600000,2990876
1336435200000,3047591
1336780800000,3113179
1337126400000,3196801
1337472000000,3291777
1337817600000,3405627
1338163200000,3510999
1338508800000,3617278
1338854400000,3737191
1339200000000,3854429
1339545600000,3978747
1339891200000,4195806
1340236800000,4347208
1340582400000,4441819
1340928000000,4558155
1341273600000,4648366
1341619200000,4739594
1341964800000,4846409
1342310400000,4949089
1342656000000,5074605
1343001600000,5212119
1343347200000,5331059
1343692800000,5462346
1344038400000,5595343
1344384000000,5722485
1344729600000,5854269
1345075200000,6025712
1345420800000,6186236
1345766400000,6334409
1346112000000,6463194
1346457600000,6601644
1346803200000,6753878
1347148800000,6902241
1347494400000,7033762
1347840000000,7154739
1348185600000,7275508
1348531200000,7384773
1348876800000,7503439
1349222400000,7605392
1349568000000,7733871
1349913600000,7873791
1350259200000,7989945
1350604800000,8115294
1350950400000,8255298
1351296000000,8368550
1351641600000,8455169
1351987200000,8559129
1352332800000,8683889
1352678400000,8792250
1353024000000,8910629
1353369600000,9053886
1353715200000,9192843
1354060800000,9323592
1354406400000,9461273
1354752000000,9569862
1355097600000,9704068
1355443200000,9856024
1355788800000,10004591
1356134400000,10179008
1356480000000,10333282
1356825600000,10497706
1357171200000,10644670
1357516800000,10808310
1357862400000,10983128
1358208000000,11175862
1358553600000,11371267
1358899200000,11552685
1359244800000,11746652
1359590400000,11946799
1359936000000,12173379
1360281600000,12386345
1360627200000,12618644
1360972800000,12842453
1361318400000,13048414
1361664000000,13284592
1362009600000,13533350
1362355200000,13771565
1362700800000,14021718
1363046400000,14266151
1363392000000,14492424
1363737600000,14650795
1364083200000,14866678
1364428800000,15068956
1364774400000,15296088
1365120000000,15542903
1365465600000,15781078
1365811200000,16038435
1366156800000,16270075
1366502400000,16480736
1366848000000,16699419
1367193600000,16903517
1367539200000,17113687
1367884800000,17318921
1368230400000,17560459
1368576000000,17827063
1368921600000,18064021
1369267200000,18266162
1369612800000,18472670
1369958400000,18695655
1370304000000,18909748
1370649600000,19130607
1370995200000,19317957
1371340800000,19493039
1371686400000,19675526
1372032000000,19857923
1372377600000,20038441
1372723200000,20194487
1373068800000,20341761
1373414400000,20486099
1373760000000,20655424
1374105600000,20806559
1374451200000,20953905
1374796800000,21117080
1375142400000,21270723
1375488000000,21465143
1375833600000,21659021
1376179200000,21876015
1376524800000,22069560
1376870400000,22311807
1377216000000,22573372
1377561600000,22781271
1377907200000,23029661
1378252800000,23227259
1378598400000,23453708
1378944000000,23660010
1379289600000,23854571
1379635200000,24094919
1379980800000,24322439
1380326400000,24544378
1380672000000,24732277
1381017600000,24950851
1381363200000,25134237
1381708800000,25343881
1382054400000,25555065
1382400000000,25779633
1382745600000,26020892
1383091200000,26214060
1383436800000,26404958
1383782400000,26593539
1384128000000,26825540
1384473600000,27075645
1384819200000,27314947
1385164800000,27633596
1385510400000,27922306
1385856000000,28279868
1386201600000,28586564
1386547200000,28857043
1386892800000,29114019
1387238400000,29349973
1387584000000,29633852
1387929600000,29853500
1388275200000,30060953
1388620800000,30259586
1388966400000,30486098
1389312000000,30736978
