Timestamp, TransactionVolumeUSD
1282953600000,861.929599853
1283212800000,2427.5209
1283472000000,1513.3758
1283731200000,1694.7888
1283990400000,1023.925200006
1284249600000,939.3114
1284508800000,2492.3502
1284768000000,2351.6856
1285027200000,989.0634
1285286400000,1059.924
1285545600000,1767.6606
1285804800000,1875.3306
1286064000000,2186.6442
1286323200000,4998.297
1286582400000,14729.4
1286841600000,5828.9436
1287100800000,4345.6589
1287360000000,3527.157
1287619200000,6071.105
1287878400000,9307.6451
1288137600000,16422.7108
1288396800000,6530.3057
1288656000000,4586.306
1288915200000,8610.0816
1289174400000,195629.0635
1289433600000,5038.9014
1289692800000,9223.884
1289952000000,8311.898
1290211200000,12329.6376
1290470400000,9171.2908
1290729600000,21817.138
1290988800000,8936.4492
1291248000000,8956.0068
1291507200000,4808.66499999999
1291766400000,3899.9076
1292025600000,7112.1288
1292284800000,3396.48566366581
1292544000000,3451.603935955
1292803200000,7003.3680713048
1293062400000,2191.2072
1293321600000,2132.7725
1293580800000,12312.4836
1293840000000,3756.462
1294099200000,3301.215234534
1294358400000,6019.13819997
1294617600000,13484.0989535456
1294876800000,20276.7353779932
1295136000000,15396.717020928
1295395200000,13865.6361089902
1295654400000,13223.8008858384
1295913600000,10298.9287441744
1296172800000,8826.567
1296432000000,21670.848
1296691200000,35919.075
1296950400000,31946.1004716192
1297209600000,58111.040613808
1297468800000,24978.4888
1297728000000,33518.2212
1297987200000,45079.346010048
1298246400000,17259.9228
1298505600000,34667.770038528
1298764800000,82776.9147239552
1299024000000,163542.616968422
1299283200000,31208.3646090186
1299542400000,54794.4247013618
1299801600000,63571.4485814842
1300060800000,136059.169973991
1300320000000,71784.4038977165
1300579200000,40848.7307101824
1300838400000,94301.9341869312
1301097600000,112570.021186934
1301356800000,46543.108356192
1301616000000,40891.555531016
1301875200000,72338.31754112
1302134400000,48903.3846749925
1302393600000,37017.8149318208
1302652800000,65569.8699556128
1302912000000,190077.515066737
1303171200000,2136033.33162563
1303430400000,143802.591016597
1303689600000,88128.1714538231
1303948800000,162973.607374544
1304208000000,290363.061957194
1304467200000,608822.71757527
1304726400000,343592.061632376
1304985600000,477192.633927963
1305244800000,2165446.02479371
1305504000000,1144066.6701694
1305763200000,443972.4565012
1306022400000,1673286.80762236
1306281600000,490468.580801272
1306540800000,412417.245462506
1306800000000,664318.815737923
1307059200000,1703030.01467965
1307318400000,1991827.5993856
1307577600000,4370227.64672276
1307836800000,18153841.748203
1308096000000,2727724.65333776
1308355200000,1601727.55788995
1308614400000,2024526.86355687
1308873600000,1477353.33749956
1309132800000,2220498.65949649
1309392000000,1624680.15933342
1309651200000,723908.225142588
1309910400000,1160180.08797143
1310169600000,783251.875949622
1310428800000,819879.48524485
1310688000000,653480.795209949
1310947200000,2794117.77402732
1311206400000,752848.212332908
1311465600000,650251.67229485
1311724800000,791093.717581378
1311984000000,673707.231122994
1312243200000,948805.806667089
1312502400000,1332652.9188727
1312761600000,1615819.07599116
1313020800000,643738.345246823
1314489600000,356899.143746344
1314748800000,469359.782158526
1315008000000,352914.835509761
1315267200000,672957.432444304
1315526400000,1025995.85315855
1315785600000,659128.735268019
1316044800000,470180.625358861
1316304000000,293308.951666173
1316563200000,766488.465352123
1316822400000,337880.218153272
1317081600000,463530.22837844
1317340800000,302636.757167051
1317600000000,305170.127794899
1317859200000,719178.1770117
1318118400000,321624.950390258
1318377600000,289729.916742614
1318636800000,289287.523977176
1318896000000,316508.233112804
1319155200000,245130.100223546
1319414400000,408246.365240596
1319673600000,220161.50290072
1319932800000,218674.813371046
1320192000000,453098.217741033
1320451200000,314611.380298243
1320710400000,508129.112298153
1320969600000,366520.23470334
1321228800000,516031.451714887
1321488000000,8011693.71772681
1321747200000,383029.880230905
1322006400000,2756718.67321403
1322265600000,439308.776337877
1322524800000,7939371.76108426
1322784000000,14698307.9784718
1323043200000,8409840.66115524
1323302400000,10515805.4790474
1323561600000,943117.497473611
1323820800000,476067.164832582
1324080000000,469359.984071991
1324339200000,897518.771558781
1324598400000,448283.796461561
1324857600000,497723.152344881
1325116800000,572718.565504192
1325376000000,1016109.60348159
1325635200000,749546.240210008
1325894400000,733406.227286602
1326153600000,873346.299114045
1326412800000,1229394.47891623
1326672000000,1155826.01149403
1326931200000,1260501.9360373
1327190400000,466919.08515857
1327449600000,1081231.15976596
1327708800000,638920.961055081
1327968000000,595116.324898326
1328227200000,844182.256734416
1328486400000,801919.106397907
1328745600000,525363.000730939
1329004800000,720424.348872986
1329264000000,2530999.66385552
1329523200000,624073.643272822
1329782400000,584084.917376865
1330041600000,976467.833778759
1330300800000,609935.817464499
1330560000000,1160954.76410335
1330819200000,446400.491682323
1331078400000,632043.024182883
1331337600000,470192.94700191
1331596800000,891087.238093244
1331856000000,814140.252390682
1332115200000,784159.394566203
1332374400000,736604.536396074
1332633600000,742724.673444083
1332892800000,714431.027174953
1333152000000,628402.16699802
1333411200000,822665.200328098
1333670400000,1031189.3862134
1333929600000,1740391.61965584
1334188800000,1188636.74998592
1334448000000,502712.117054138
1334707200000,1003656.12636387
