week,bnb,bitcoin,cardano,ocean protocol,solana,fetch,uniswap,XRP,ethereum,filecoin,singularitynet,kucoin,oasis network,pancakeswap,chainlink,tezos,litecoin,polkadot,dogecoin,monero
2020-06-28,58,13,6,12,8,0,2,4,5,2,7,4,2,0,12,16,10,7,<1,20
2020-07-05,60,13,8,23,8,0,3,5,6,3,7,4,3,0,30,17,11,7,4,21
2020-07-12,58,14,6,20,7,3,3,5,5,3,11,5,3,0,58,28,11,7,1,22
2020-07-19,60,13,5,17,8,4,5,5,8,4,6,7,2,0,29,20,12,8,1,24
2020-07-26,61,20,9,18,8,5,7,11,14,3,6,7,2,0,30,22,19,9,1,25
2020-08-02,59,21,6,42,9,5,8,14,14,3,0,7,3,0,49,24,18,9,1,26
2020-08-09,56,17,5,43,9,3,13,10,11,3,19,8,2,0,100,44,15,10,<1,23
2020-08-16,52,16,5,76,8,10,11,9,10,4,20,8,3,0,67,26,18,20,<1,26
2020-08-23,48,14,4,46,8,3,10,7,7,5,18,6,3,0,35,18,13,31,<1,27
2020-08-30,45,15,4,32,8,4,17,7,11,4,9,6,4,0,34,19,15,20,<1,26
2020-09-06,44,14,4,17,8,4,9,6,8,3,23,5,2,0,25,14,12,14,<1,34
2020-09-13,42,13,4,17,8,0,39,5,7,3,13,4,3,0,22,16,11,13,<1,26
2020-09-20,40,11,4,18,7,3,20,5,6,3,12,7,3,<1,26,16,10,11,<1,22
2020-09-27,40,11,4,16,7,0,13,4,5,4,21,7,5,<1,18,14,10,9,<1,25
2020-10-04,37,11,3,18,7,4,11,5,5,2,11,4,4,<1,16,12,9,9,<1,26
2020-10-11,36,12,3,9,7,0,8,5,5,17,9,3,3,<1,16,10,10,8,<1,26
2020-10-18,34,16,3,22,7,0,7,5,6,11,0,3,5,<1,18,12,14,10,<1,32
2020-10-25,33,18,3,44,7,0,9,5,6,7,7,3,3,<1,17,12,14,10,<1,27
2020-11-01,26,19,3,38,7,0,7,5,7,4,8,3,3,<1,17,13,13,9,<1,29
2020-11-08,30,20,3,38,7,0,7,6,8,4,9,3,3,<1,20,14,15,9,<1,26
