Timestamp, TransactionVolumeUSD, TransactionCount
2017-01-01,242080686.70296466,182941295.0
2017-01-08,364633034.66555953,184567133.5
2017-01-15,267254361.021332,186928872.0
2017-01-22,217004066.79209366,189143016.0
2017-01-29,189456740.8493335,190780358.0
2017-02-05,245571889.794671,192427230.5
2017-02-12,237910348.96494833,194781129.5
2017-02-19,191166681.302331,197118294.5
2017-02-26,302287144.9756435,198804578.0
2017-03-05,304171803.6400343,200695552.5
2017-03-12,279453928.6789695,203112824.0
2017-03-19,450071699.95356953,205403991.0
2017-03-26,283077152.1072983,207142546.0
2017-04-02,272998431.3946625,208733135.0
2017-04-09,379973024.3828765,210910703.5
2017-04-16,274144862.5797383,213070731.0
2017-04-23,263004962.48960847,214675280.0
2017-04-30,408204586.6072905,216376321.5
2017-05-07,508305667.59815794,218814833.5
2017-05-14,585356981.079736,221443809.5
2017-05-21,719759417.082788,223319866.0
2017-05-28,922604708.6519357,225300036.5
2017-06-04,834578349.4371121,227916520.5
2017-06-11,787017260.9340905,230298331.0
2017-06-18,708923743.7084597,231962028.0
2017-06-25,634293548.170858,233514930.0
2017-07-02,729400663.897939,235507950.0
2017-07-09,613880416.5628806,237418076.0
2017-07-16,508342400.943828,238843535.0
2017-07-23,657771522.8457495,240230009.5
2017-07-30,858386160.4203006,242107883.5
2017-08-06,1201829979.2471175,243791996.5
2017-08-13,1107813562.523379,245225550.0
2017-08-20,996168833.0005795,246886206.5
2017-08-27,870599362.833416,248969692.5
2017-09-03,1166910431.1602402,250960206.5
2017-09-10,1184303626.6986887,252515787.0
2017-09-17,878396361.816355,253983226.0
2017-09-24,794825765.978194,255941247.0
2017-10-01,778126939.551114,257821253.5
2017-10-08,581840841.6845515,259335557.0
2017-10-15,1333211933.96437,260955265.5
2017-10-22,1193640124.1481924,263415925.5
2017-10-29,1369220388.876349,265865405.0
2017-11-05,1621483040.550595,267662050.0
2017-11-12,1981054990.0171468,269451121.5
2017-11-19,2121119355.319445,271643128.0
2017-11-26,2659404021.956725,274144965.0
2017-12-03,2964546566.5789466,276271425.0
2017-12-10,3668839461.3849096,278560360.0
2017-12-17,4974587399.804325,281718759.5
2017-12-24,3722118733.3894267,284791949.0
2017-12-31,4350402154.698956,286552442.0
2018-01-07,4037808077.99726,288548318.5
2018-01-14,3492574866.293413,291338484.5
2018-01-21,2755728639.6074953,293643305.0
2018-01-28,2366093905.016065,295182374.0
2018-02-04,2034211546.9727933,296510604.0
2018-02-11,1334840739.070515,298201279.0
2018-02-18,1166335034.6385999,299683390.0
2018-02-25,1518267000.3262818,300812154.0
2018-03-04,1593192139.40313,301894026.5
2018-03-11,1579502803.100265,303449434.0
2018-03-18,1047915483.6293869,304917765.5
2018-03-25,834592107.1308565,306033506.0
2018-04-01,1085084812.1393914,307063600.0
2018-04-08,696540730.9026407,308443141.0
2018-04-15,730785569.1962351,309856166.0
2018-04-22,1019744653.0326235,311012999.0
2018-04-29,1190245088.60484,312257398.5
2018-05-06,1194233642.249,313953301.5
2018-05-13,1306941331.3215852,315586731.0
2018-05-20,1456419892.0834572,316784522.0
2018-05-27,751745157.1105084,317937137.0
2018-06-03,881646003.035701,319454478.5
2018-06-10,755806701.1101121,321021709.0
2018-06-17,718242527.3592705,322234256.0
2018-06-24,797589869.6800704,323345596.0
2018-07-01,798329206.2923263,324848792.5
2018-07-08,516539335.568943,326376108.5
2018-07-15,757573863.4628141,327545678.0
2018-07-22,712423447.1557566,328747101.0
2018-07-29,762963448.4203025,330491953.0
2018-08-05,921126339.0260069,332252630.0
2018-08-12,668563083.0082344,333554382.0
2018-08-19,633738738.5855565,334835264.5
2018-08-26,766767438.994518,336559248.5
2018-09-02,677749238.5478793,338292047.0
2018-09-09,654826873.088434,339640512.0
2018-09-16,740395610.507107,340981078.5
2018-09-23,530392284.25401497,342809786.0
2018-09-30,608494632.3340914,344719519.0
2018-10-07,726595896.8066654,346138560.0
2018-10-14,638304891.4743366,347558746.5
2018-10-21,708030364.6037165,349473512.5
2018-10-28,735569497.9545431,351431947.5
2018-11-04,742375563.981626,352989457.0
2018-11-11,619365578.448596,354619541.0
2018-11-18,944941677.581382,356850553.0
2018-11-25,767507020.236036,359005772.0
2018-12-02,748516812.0504999,360548754.0
2018-12-09,1608176157.008246,362032453.5
2018-12-16,479786584.285079,364067013.5
2018-12-23,598530431.187238,366211932.0
2018-12-30,515102606.827734,367840744.0
2019-01-06,452465128.3906126,369510046.5
2019-01-13,450647640.54394495,371765344.0
2019-01-20,860227221.674245,374185557.5
2019-01-27,396545527.1388857,375980457.0
2019-02-03,526602273.3677485,377808536.0
2019-02-10,483772094.732811,380456833.5
2019-02-17,405304083.988082,383018679.0
2019-02-24,593104165.8741075,385019779.0
2019-03-03,564393227.8954785,387024802.5
2019-03-10,466092477.7191356,389646240.0
2019-03-17,496698454.71891296,391818140.5
2019-03-24,568946489.4924121,393519539.0
2019-03-31,547683517.745951,395328058.5
2019-04-07,805093259.8994105,398312140.0
2019-04-14,785377707.7207556,401263083.5
2019-04-21,619703660.9433583,403462303.0
2019-04-28,1009728527.1371706,405639259.0
2019-05-05,849946180.9556124,408657814.0
2019-05-12,1022885069.248737,411575218.5
2019-05-19,1142007300.3776135,413750644.0
2019-05-26,1151367777.4931202,415967954.5
2019-06-02,1095831782.838787,418963627.0
2019-06-09,1545841505.417697,421691260.0
2019-06-16,1432417690.47997,423706779.0
2019-06-23,1774371896.4011135,425784170.0
2019-06-30,2143736095.847515,428732589.5
2019-07-07,1494678427.22698,431642470.0
