Timestamp, TransactionVolumeUSD,TransactionCount
1619740800000,8038587266.25454,638025558
1619827200000,3347043374.86941,638316363
1619913600000,2991270138.38922,638578365
1620000000000,5954769584.49245,638812283
1620086400000,7698193443.31012,639099421
1620172800000,6381517581.40307,639401160
1620259200000,7566141015.08991,639710395
1620345600000,9703541846.82562,640021479
1620432000000,4620961715.68185,640329696
1620518400000,5388114089.55138,640605777
1620604800000,8099530690.21961,640852263
1620691200000,6620873679.22107,641155987
1620777600000,12953414263.3473,641468246
1620864000000,11355681895.5172,641770051
1620950400000,7906534590.26676,642045750
1621036800000,4191692549.23903,642312383
1621123200000,5725518842.77377,642542665
1621209600000,10100167444.6496,642762772
1621296000000,6401432361.18245,643014160
1621382400000,14642615897.1991,643235634
1621468800000,12059107969.1117,643498821
1621555200000,7317126300.49507,643726741
1621641600000,5042562364.37907,643953439
1621728000000,4450529580.04713,644175796
1621814400000,7207897767.57734,644370643
1621900800000,6201345379.02111,644605027
1621987200000,5744713581.12687,644838441
1622073600000,4886792807.59923,645069798
1622160000000,5453824455.07165,645284958
1622246400000,3534235035.74776,645503002
1622332800000,2229477248.09923,645699597
1622419200000,3294970505.35565,645880503
1622505600000,5421714885.34299,646108031
1622592000000,3845016656.31391,646341383
1622678400000,4080204482.21367,646592644
1622764800000,3411600139.25647,646848409
1622851200000,2192085664.63277,647083101
1622937600000,1550993266.22259,647278422
1623024000000,3987593296.66899,647463939
1623110400000,4855389937.57324,647700446
1623196800000,4061991299.68948,647947463
1623283200000,4643427946.04325,648157218
1623369600000,3501716416.13394,648410825
1623456000000,2153678028.59554,648626928
1623542400000,1539743948.27805,648849545
1623628800000,4973233612.97694,649035665
1623715200000,4080041045.17314,649279717
1623801600000,3918231599.12631,649521585
1623888000000,3458321392.27741,649773823
1623974400000,5151710129.431,650012711
1624060800000,2186838846.13502,650235583
1624147200000,2162759239.61247,650422399
1624233600000,4751842584.48907,650588114
1624320000000,4882368443.93483,650795691
1624406400000,4386486291.1061,650991516
1624492800000,3876348202.43093,651223014
1624579200000,4356792800.44263,651455712
1624665600000,2331345211.28106,651675788
1624752000000,2112213965.63029,651856510
1624838400000,3708117939.57603,651981788
1624924800000,3300219147.37765,652197629
1625011200000,3725912659.90572,652404292
1625097600000,3625272212.81946,652624360
1625184000000,4454956968.42674,652854116
1625270400000,1526282960.71795,653042218
1625356800000,1515363756.63947,653279360
1625443200000,2169927055.33841,653451532
1625529600000,2346543660.26668,653673733
1625616000000,2415077701.78748,653903642
1625702400000,3349209076.66244,654124289
1625788800000,2552942232.96359,654355373
1625875200000,1104335807.31312,654582886
1625961600000,1361224001.42966,654771435
1626048000000,3530030646.39823,654935868
1626134400000,2583990657.51436,655156548
1626220800000,2847291324.21106,655386017
1626307200000,3546057522.3192,655622671
1626393600000,2855123418.4177,655849251
1626480000000,4054713463.0522,656072799
1626566400000,1052594971.18172,656254434
1626652800000,2991573664.25331,656415864
